,0,1
5092,sunday january 29 1989,1989-01-29
5093,5 08 91,1991-08-05
5094,19 dec 1981,1981-12-19
5095,november 16 1982,1982-11-16
5096,monday may 2 2011,2011-05-02
5097,saturday december 28 1974,1974-12-28
5098,24 aug 1979,1979-08-24
5099,thursday april 16 1992,1992-04-16
5100,02.05.96,1996-05-02
5101,tuesday july 16 1974,1974-07-16
5102,7/5/89,1989-07-05
5103,tuesday september 11 2012,2012-09-11
5104,07.12.87,1987-12-07
5105,thursday february 6 1986,1986-02-06
5106,jan 8 1995,1995-01-08
5107,friday july 27 1984,1984-07-27
5108,sunday march 7 1982,1982-03-07
5109,22.06.06,2006-06-22
5110,04 jun 2008,2008-06-04
5111,5 aug 1991,1991-08-05
5112,saturday july 18 1981,1981-07-18
5113,16 feb 1976,1976-02-16
5114,wednesday november 25 1998,1998-11-25
5115,monday march 30 2015,2015-03-30
5116,sunday september 1 1996,1996-09-01
5117,friday november 7 1975,1975-11-07
5118,7 january 2003,2003-01-07
5119,february 9 1979,1979-02-09
5120,sunday december 19 1971,1971-12-19
5121,friday april 6 2007,2007-04-06
5122,monday september 3 1990,1990-09-03
5123,monday december 29 2003,2003-12-29
5124,may 15 1981,1981-05-15
5125,wednesday august 2 1978,1978-08-02
5126,14.05.05,2005-05-14
5127,wednesday october 25 2000,2000-10-25
5128,14 dec 1979,1979-12-14
5129,thursday november 8 2007,2007-11-08
5130,wednesday june 25 2003,2003-06-25
5131,monday june 17 2002,2002-06-17
5132,12.12.13,2013-12-12
5133,12 april 2001,2001-04-12
5134,august 29 2006,2006-08-29
5135,mar 7 2009,2009-03-07
5136,friday january 16 1998,1998-01-16
5137,nov 7 1992,1992-11-07
5138,wednesday november 30 1994,1994-11-30
5139,tuesday august 5 1997,1997-08-05
5140,tuesday january 9 1973,1973-01-09
5141,sunday december 19 1982,1982-12-19
5142,thursday february 10 2005,2005-02-10
5143,saturday june 20 1970,1970-06-20
5144,feb 14 2007,2007-02-14
5145,friday july 17 1981,1981-07-17
5146,06.01.70,1970-01-06
5147,14.01.00,2000-01-14
5148,8/20/76,1976-08-20
5149,17 may 2005,2005-05-17
5150,thursday april 29 1993,1993-04-29
5151,8 march 1987,1987-03-08
5152,10 march 1977,1977-03-10
5153,may 26 2016,2016-05-26
5154,24 july 2011,2011-07-24
5155,monday may 17 1982,1982-05-17
5156,wednesday november 22 1978,1978-11-22
5157,tuesday june 30 1970,1970-06-30
5158,monday january 26 1970,1970-01-26
5159,9/18/92,1992-09-18
5160,28 october 2005,2005-10-28
5161,january 20 2011,2011-01-20
5162,24 october 2007,2007-10-24
5163,8 november 1970,1970-11-08
5164,tuesday november 30 2010,2010-11-30
5165,may 10 1972,1972-05-10
5166,april 3 1972,1972-04-03
5167,friday october 4 2002,2002-10-04
5168,saturday september 23 2017,2017-09-23
5169,april 4 1977,1977-04-04
5170,tuesday march 31 1992,1992-03-31
5171,16 january 1975,1975-01-16
5172,wednesday february 21 2018,2018-02-21
5173,15 february 2015,2015-02-15
5174,december 3 1988,1988-12-03
5175,sunday july 17 2005,2005-07-17
5176,aug 28 1999,1999-08-28
5177,friday march 16 1979,1979-03-16
5178,thursday august 20 1998,1998-08-20
5179,02.11.84,1984-11-02
5180,03 jun 2001,2001-06-03
5181,november 27 1981,1981-11-27
5182,8 april 1993,1993-04-08
5183,thursday december 11 2014,2014-12-11
5184,10 jul 1974,1974-07-10
5185,oct 9 2012,2012-10-09
5186,wednesday july 4 1984,1984-07-04
5187,11 may 1983,1983-05-11
5188,monday july 13 1998,1998-07-13
5189,5 april 1993,1993-04-05
5190,monday october 14 1985,1985-10-14
5191,sunday june 17 2001,2001-06-17
5192,29 july 2008,2008-07-29
5193,2 jan 1994,1994-01-02
5194,26 oct 1998,1998-10-26
5195,september 18 2013,2013-09-18
5196,sunday april 8 1984,1984-04-08
5197,8 05 15,2015-05-08
5198,friday april 10 2009,2009-04-10
5199,20 03 00,2000-03-20
5200,5/14/09,2009-05-14
5201,nov 9 1992,1992-11-09
5202,wednesday july 20 1994,1994-07-20
5203,thursday january 27 1994,1994-01-27
5204,19 dec 2005,2005-12-19
5205,january 13 1995,1995-01-13
5206,3 07 07,2007-07-03
5207,17 april 1972,1972-04-17
5208,monday september 22 2003,2003-09-22
5209,friday june 16 2000,2000-06-16
5210,apr 7 2002,2002-04-07
5211,19 aug 1974,1974-08-19
5212,jul 3 1982,1982-07-03
5213,14 december 1998,1998-12-14
5214,monday december 31 1973,1973-12-31
5215,20 feb 2003,2003-02-20
5216,monday september 3 1990,1990-09-03
5217,3 may 2002,2002-05-03
5218,april 19 1986,1986-04-19
5219,january 4 1975,1975-01-04
5220,july 9 1975,1975-07-09
5221,thursday november 24 1994,1994-11-24
5222,monday january 30 2006,2006-01-30
5223,february 4 1996,1996-02-04
5224,saturday march 2 1991,1991-03-02
5225,saturday november 14 1992,1992-11-14
5226,sep 26 2001,2001-09-26
5227,11 september 1999,1999-09-11
5228,27 may 1994,1994-05-27
5229,saturday may 17 1986,1986-05-17
5230,9 jul 1980,1980-07-09
5231,may 19 1981,1981-05-19
5232,28 august 2013,2013-08-28
5233,monday february 12 1990,1990-02-12
5234,13 mar 1977,1977-03-13
5235,november 25 2010,2010-11-25
5236,tuesday december 15 2009,2009-12-15
5237,sunday february 5 2017,2017-02-05
5238,january 25 2011,2011-01-25
5239,16 december 1987,1987-12-16
5240,26 may 2013,2013-05-26
5241,tuesday march 8 2016,2016-03-08
5242,sunday august 13 1989,1989-08-13
5243,monday september 2 2002,2002-09-02
5244,11/2/70,1970-11-02
5245,saturday july 14 2001,2001-07-14
5246,september 4 2013,2013-09-04
5247,21 may 1988,1988-05-21
5248,wednesday december 3 2008,2008-12-03
5249,05 nov 2016,2016-11-05
5250,31 october 2002,2002-10-31
5251,wednesday september 14 2016,2016-09-14
5252,19.08.74,1974-08-19
5253,december 12 1993,1993-12-12
5254,april 18 1978,1978-04-18
5255,1 mar 1991,1991-03-01
5256,12/25/80,1980-12-25
5257,saturday january 7 2017,2017-01-07
5258,friday june 27 2008,2008-06-27
5259,11/1/74,1974-11-01
5260,29 march 1979,1979-03-29
5261,16 jun 2017,2017-06-16
5262,sunday march 20 1977,1977-03-20
5263,20 07 71,1971-07-20
5264,october 18 1977,1977-10-18
5265,5 february 2003,2003-02-05
5266,23 july 1977,1977-07-23
5267,29 sep 2016,2016-09-29
5268,saturday october 30 1999,1999-10-30
5269,sunday april 1 1990,1990-04-01
5270,07.11.14,2014-11-07
5271,march 10 2012,2012-03-10
5272,16 dec 2015,2015-12-16
5273,september 26 1994,1994-09-26
5274,wednesday september 14 2016,2016-09-14
5275,30 dec 1984,1984-12-30
5276,23 jun 1972,1972-06-23
5277,20 dec 2017,2017-12-20
5278,18 may 2000,2000-05-18
5279,16 may 1970,1970-05-16
5280,thursday july 23 2009,2009-07-23
5281,monday april 21 1975,1975-04-21
5282,29 august 1997,1997-08-29
5283,13 jul 2002,2002-07-13
5284,20 november 2013,2013-11-20
5285,6 oct 1993,1993-10-06
5286,11 aug 1986,1986-08-11
5287,25 january 1970,1970-01-25
5288,november 13 1984,1984-11-13
5289,sunday february 8 1981,1981-02-08
5290,5/3/18,2018-05-03
5291,12 jan 1986,1986-01-12
5292,january 23 1992,1992-01-23
5293,24 feb 1980,1980-02-24
5294,saturday december 19 2009,2009-12-19
5295,5 november 1973,1973-11-05
5296,saturday november 8 2008,2008-11-08
5297,thursday july 1 1971,1971-07-01
5298,friday june 21 2013,2013-06-21
5299,tuesday august 28 2012,2012-08-28
5300,friday december 12 1975,1975-12-12
5301,wednesday september 24 2008,2008-09-24
5302,saturday june 6 1981,1981-06-06
5303,28 feb 1970,1970-02-28
5304,04 aug 2017,2017-08-04
5305,16.05.15,2015-05-16
5306,tuesday november 1 2005,2005-11-01
5307,9 november 1977,1977-11-09
5308,1 jan 1986,1986-01-01
5309,october 20 2016,2016-10-20
5310,3/25/87,1987-03-25
5311,saturday september 20 2008,2008-09-20
5312,wednesday october 13 1999,1999-10-13
5313,december 20 2013,2013-12-20
5314,sunday january 23 1983,1983-01-23
5315,20 jul 1994,1994-07-20
5316,friday july 16 1976,1976-07-16
5317,12.05.92,1992-05-12
5318,friday august 16 1985,1985-08-16
5319,7 november 1993,1993-11-07
5320,03 jul 2010,2010-07-03
5321,27 12 77,1977-12-27
5322,07.11.83,1983-11-07
5323,05.02.76,1976-02-05
5324,16 march 2002,2002-03-16
5325,25 05 79,1979-05-25
5326,november 6 2001,2001-11-06
5327,15 sep 1982,1982-09-15
5328,18 may 1998,1998-05-18
5329,21 05 71,1971-05-21
5330,20 sep 2014,2014-09-20
5331,10 sep 2016,2016-09-10
5332,june 4 1994,1994-06-04
5333,friday october 21 2005,2005-10-21
5334,6/18/88,1988-06-18
5335,thursday october 11 2001,2001-10-11
5336,thursday september 28 1972,1972-09-28
5337,20 apr 1986,1986-04-20
5338,07 apr 1993,1993-04-07
5339,aug 13 2014,2014-08-13
5340,22 dec 1980,1980-12-22
5341,7 05 07,2007-05-07
5342,15 september 1974,1974-09-15
5343,monday may 8 2006,2006-05-08
5344,thursday september 26 1991,1991-09-26
5345,wednesday july 17 1996,1996-07-17
5346,september 11 2003,2003-09-11
5347,saturday january 27 2001,2001-01-27
5348,11 june 1990,1990-06-11
5349,07 dec 1980,1980-12-07
5350,11 sep 1977,1977-09-11
5351,23 07 07,2007-07-23
5352,26.09.79,1979-09-26
5353,4/3/94,1994-04-03
5354,wednesday july 22 1987,1987-07-22
5355,tuesday june 30 2009,2009-06-30
5356,october 11 1986,1986-10-11
5357,saturday february 15 1997,1997-02-15
5358,28 oct 2015,2015-10-28
5359,thursday july 17 2008,2008-07-17
5360,thursday december 13 2012,2012-12-13
5361,11 feb 1989,1989-02-11
5362,24 sep 1981,1981-09-24
5363,saturday july 30 2005,2005-07-30
5364,sunday july 9 1989,1989-07-09
5365,thursday february 10 1994,1994-02-10
5366,26.08.73,1973-08-26
5367,thursday december 3 1998,1998-12-03
5368,08 jun 2016,2016-06-08
5369,17 february 1994,1994-02-17
5370,friday november 29 1985,1985-11-29
5371,saturday may 27 1989,1989-05-27
5372,monday may 27 1996,1996-05-27
5373,3 nov 2012,2012-11-03
5374,18 jul 2002,2002-07-18
5375,friday september 17 1971,1971-09-17
5376,friday july 7 2006,2006-07-07
5377,28 november 1972,1972-11-28
5378,monday december 9 1974,1974-12-09
5379,january 24 1995,1995-01-24
5380,december 24 1992,1992-12-24
5381,tuesday december 16 2014,2014-12-16
5382,november 19 2010,2010-11-19
5383,friday may 7 1976,1976-05-07
5384,sunday january 19 2014,2014-01-19
5385,sunday may 18 1997,1997-05-18
5386,sunday february 21 1999,1999-02-21
5387,7 10 98,1998-10-07
5388,april 6 2010,2010-04-06
5389,wednesday september 30 1987,1987-09-30
5390,tuesday august 31 1999,1999-08-31
5391,friday january 23 1987,1987-01-23
5392,december 12 1996,1996-12-12
5393,14.12.70,1970-12-14
5394,saturday september 13 1986,1986-09-13
5395,13 december 1975,1975-12-13
5396,saturday february 8 2014,2014-02-08
5397,15.01.10,2010-01-15
5398,friday january 25 1991,1991-01-25
5399,friday april 21 2000,2000-04-21
5400,friday june 16 1995,1995-06-16
5401,friday june 20 1986,1986-06-20
5402,21 november 2000,2000-11-21
5403,10.09.86,1986-09-10
5404,04 oct 1993,1993-10-04
5405,tuesday june 21 2016,2016-06-21
5406,tuesday march 14 2006,2006-03-14
5407,july 5 1987,1987-07-05
5408,15 jan 1978,1978-01-15
5409,october 1 1991,1991-10-01
5410,tuesday march 24 1998,1998-03-24
5411,july 3 1988,1988-07-03
5412,13 feb 2000,2000-02-13
5413,saturday september 24 1977,1977-09-24
5414,3/8/71,1971-03-08
5415,10 october 2009,2009-10-10
5416,tuesday september 25 2001,2001-09-25
5417,24 jan 1975,1975-01-24
5418,25.03.73,1973-03-25
5419,friday november 18 2011,2011-11-18
5420,saturday june 30 1984,1984-06-30
5421,25 oct 2001,2001-10-25
5422,6 july 2016,2016-07-06
5423,tuesday august 28 1990,1990-08-28
5424,11 march 2009,2009-03-11
5425,28 feb 1989,1989-02-28
5426,05 apr 2015,2015-04-05
5427,1 april 1999,1999-04-01
5428,16 july 2014,2014-07-16
5429,19 july 1995,1995-07-19
5430,12 jan 1982,1982-01-12
5431,13 sep 1974,1974-09-13
5432,thursday september 13 1979,1979-09-13
5433,saturday october 28 2006,2006-10-28
5434,monday march 3 1980,1980-03-03
5435,sep 7 1993,1993-09-07
5436,sunday july 28 1974,1974-07-28
5437,26 jan 2017,2017-01-26
5438,9/17/81,1981-09-17
5439,6 may 2002,2002-05-06
5440,saturday march 19 2005,2005-03-19
5441,9/6/79,1979-09-06
5442,26 january 2015,2015-01-26
5443,wednesday august 30 2017,2017-08-30
5444,8 feb 2007,2007-02-08
5445,friday january 2 1987,1987-01-02
5446,monday september 26 1988,1988-09-26
5447,friday december 5 1986,1986-12-05
5448,march 30 2000,2000-03-30
5449,18 02 13,2013-02-18
5450,tuesday april 22 1980,1980-04-22
5451,wednesday december 23 2009,2009-12-23
5452,12/5/93,1993-12-05
5453,2/24/83,1983-02-24
5454,saturday march 2 1985,1985-03-02
5455,17 nov 2013,2013-11-17
5456,23 10 16,2016-10-23
5457,17 april 1973,1973-04-17
5458,9/26/15,2015-09-26
5459,13 02 17,2017-02-13
5460,nov 8 1998,1998-11-08
5461,mar 10 1977,1977-03-10
5462,07 oct 1997,1997-10-07
5463,may 9 1989,1989-05-09
5464,thursday may 20 1993,1993-05-20
5465,saturday june 2 1984,1984-06-02
5466,july 18 1989,1989-07-18
5467,december 26 1981,1981-12-26
5468,february 20 2006,2006-02-20
5469,12.04.85,1985-04-12
5470,friday october 2 1998,1998-10-02
5471,28 sep 2015,2015-09-28
5472,14 oct 1979,1979-10-14
5473,saturday march 4 1972,1972-03-04
5474,18 apr 1980,1980-04-18
5475,tuesday august 31 1976,1976-08-31
5476,29 september 1989,1989-09-29
5477,tuesday october 10 1972,1972-10-10
5478,friday july 8 2011,2011-07-08
5479,april 29 1999,1999-04-29
5480,february 28 1973,1973-02-28
5481,17 june 1991,1991-06-17
5482,thursday june 12 1980,1980-06-12
5483,monday september 21 2009,2009-09-21
5484,9 jun 1980,1980-06-09
5485,sunday april 1 1973,1973-04-01
5486,tuesday september 28 1999,1999-09-28
5487,6 september 2013,2013-09-06
5488,04 dec 2003,2003-12-04
5489,monday october 3 2011,2011-10-03
5490,1 mar 1978,1978-03-01
5491,12 january 2001,2001-01-12
5492,wednesday october 28 2009,2009-10-28
5493,november 4 1993,1993-11-04
5494,22 jan 1983,1983-01-22
5495,6 august 2012,2012-08-06
5496,30 sep 1975,1975-09-30
5497,thursday april 3 1980,1980-04-03
5498,monday november 12 2001,2001-11-12
5499,thursday september 10 2009,2009-09-10
5500,3 feb 1974,1974-02-03
5501,friday august 5 1994,1994-08-05
5502,4 june 2004,2004-06-04
5503,aug 27 2006,2006-08-27
5504,14 apr 1992,1992-04-14
5505,8 july 2015,2015-07-08
5506,08 jul 1991,1991-07-08
5507,march 24 1990,1990-03-24
5508,wednesday january 27 2016,2016-01-27
5509,18 aug 1979,1979-08-18
5510,jul 21 1990,1990-07-21
5511,08 may 2004,2004-05-08
5512,friday may 29 1992,1992-05-29
5513,11 jul 1991,1991-07-11
5514,thursday november 25 1999,1999-11-25
5515,march 14 1999,1999-03-14
5516,november 14 1983,1983-11-14
5517,monday march 24 1975,1975-03-24
5518,20 may 1992,1992-05-20
5519,tuesday june 6 2006,2006-06-06
5520,monday december 16 1991,1991-12-16
5521,wednesday october 5 2016,2016-10-05
5522,30 april 1998,1998-04-30
5523,21 apr 2011,2011-04-21
5524,saturday june 23 2007,2007-06-23
5525,wednesday june 17 1981,1981-06-17
5526,monday june 4 2007,2007-06-04
5527,sunday march 20 2011,2011-03-20
5528,14 june 1973,1973-06-14
5529,sunday november 6 1994,1994-11-06
5530,wednesday june 9 1971,1971-06-09
5531,16 08 91,1991-08-16
5532,02 nov 1989,1989-11-02
5533,july 18 1981,1981-07-18
5534,10 03 72,1972-03-10
5535,wednesday october 27 1982,1982-10-27
5536,28 june 2009,2009-06-28
5537,april 16 1973,1973-04-16
5538,thursday september 20 1979,1979-09-20
5539,26 mar 1970,1970-03-26
5540,9/2/87,1987-09-02
5541,19 january 1980,1980-01-19
5542,19.04.16,2016-04-19
5543,3 september 2007,2007-09-03
5544,thursday december 30 1971,1971-12-30
5545,29 aug 1998,1998-08-29
5546,may 20 2001,2001-05-20
5547,07 nov 1975,1975-11-07
5548,april 27 2014,2014-04-27
5549,december 14 2000,2000-12-14
5550,tuesday april 15 1997,1997-04-15
5551,sunday november 7 2004,2004-11-07
5552,wednesday june 20 2007,2007-06-20
5553,sunday october 13 1996,1996-10-13
5554,november 4 1984,1984-11-04
5555,10 apr 1983,1983-04-10
5556,july 2 1977,1977-07-02
5557,sunday march 24 1985,1985-03-24
5558,august 4 2005,2005-08-04
5559,friday july 30 1993,1993-07-30
5560,6/14/75,1975-06-14
5561,monday december 29 2008,2008-12-29
5562,03 sep 1976,1976-09-03
5563,saturday april 20 1996,1996-04-20
5564,december 9 2013,2013-12-09
5565,14 march 1983,1983-03-14
5566,wednesday july 26 1972,1972-07-26
5567,july 23 2005,2005-07-23
5568,22 11 98,1998-11-22
5569,august 11 2017,2017-08-11
5570,friday february 1 2013,2013-02-01
5571,august 25 1974,1974-08-25
5572,friday august 27 1976,1976-08-27
5573,dec 6 1996,1996-12-06
5574,january 26 1971,1971-01-26
5575,7 march 1980,1980-03-07
5576,8/23/79,1979-08-23
5577,19 jun 1997,1997-06-19
5578,september 30 2004,2004-09-30
5579,6 sep 2004,2004-09-06
5580,09 may 2000,2000-05-09
5581,17 april 2003,2003-04-17
5582,monday may 30 2011,2011-05-30
5583,tuesday april 5 2016,2016-04-05
5584,4/29/70,1970-04-29
5585,wednesday february 19 1986,1986-02-19
5586,tuesday july 10 1973,1973-07-10
5587,february 12 1984,1984-02-12
5588,monday september 7 2009,2009-09-07
5589,tuesday march 31 1970,1970-03-31
5590,thursday march 30 2006,2006-03-30
5591,06 mar 1988,1988-03-06
5592,jan 2 1988,1988-01-02
5593,19 may 2014,2014-05-19
5594,9/13/81,1981-09-13
5595,26 october 2000,2000-10-26
5596,18 may 2016,2016-05-18
5597,november 24 1977,1977-11-24
5598,17 oct 1989,1989-10-17
5599,monday april 24 1995,1995-04-24
5600,4/13/83,1983-04-13
5601,june 3 1997,1997-06-03
5602,july 1 1983,1983-07-01
5603,17 sep 1973,1973-09-17
5604,tuesday march 25 2003,2003-03-25
5605,friday november 18 1983,1983-11-18
5606,september 13 1983,1983-09-13
5607,friday june 19 2009,2009-06-19
5608,06 jul 1974,1974-07-06
5609,7 september 1983,1983-09-07
5610,27 january 2002,2002-01-27
5611,sunday october 6 1996,1996-10-06
5612,thursday june 10 1993,1993-06-10
5613,saturday october 4 1980,1980-10-04
5614,sunday october 2 1988,1988-10-02
5615,saturday september 27 1986,1986-09-27
5616,october 30 1988,1988-10-30
5617,wednesday june 21 1972,1972-06-21
5618,9 06 96,1996-06-09
5619,tuesday may 31 1977,1977-05-31
5620,wednesday january 8 1997,1997-01-08
5621,january 7 2008,2008-01-07
5622,23 sep 2006,2006-09-23
5623,july 31 1996,1996-07-31
5624,wednesday november 13 1974,1974-11-13
5625,5 march 1984,1984-03-05
5626,thursday january 10 1980,1980-01-10
5627,6 aug 2005,2005-08-06
5628,5/12/16,2016-05-12
5629,august 21 1983,1983-08-21
5630,may 27 1971,1971-05-27
5631,tuesday may 9 2017,2017-05-09
5632,6 oct 1981,1981-10-06
5633,01.03.09,2009-03-01
5634,thursday february 21 1980,1980-02-21
5635,27 december 2013,2013-12-27
5636,aug 29 1981,1981-08-29
5637,monday january 31 2000,2000-01-31
5638,tuesday march 4 2003,2003-03-04
5639,16 february 2012,2012-02-16
5640,wednesday february 23 2000,2000-02-23
5641,23 march 1986,1986-03-23
5642,december 24 1994,1994-12-24
5643,2 july 2002,2002-07-02
5644,tuesday june 17 1975,1975-06-17
5645,wednesday may 25 1983,1983-05-25
5646,11 jan 1976,1976-01-11
5647,17 may 2005,2005-05-17
5648,wednesday april 16 2014,2014-04-16
5649,saturday july 28 1990,1990-07-28
5650,tuesday october 9 2007,2007-10-09
5651,16 july 2012,2012-07-16
5652,01.05.92,1992-05-01
5653,friday april 7 1978,1978-04-07
5654,thursday december 16 2004,2004-12-16
5655,sunday july 29 1984,1984-07-29
5656,13 aug 1983,1983-08-13
5657,monday october 21 1991,1991-10-21
5658,saturday january 5 2008,2008-01-05
5659,january 18 2012,2012-01-18
5660,24 sep 2017,2017-09-24
5661,30 march 1986,1986-03-30
5662,friday may 29 1987,1987-05-29
5663,sunday july 12 1981,1981-07-12
5664,15 apr 2010,2010-04-15
5665,monday january 17 2011,2011-01-17
5666,monday january 15 1979,1979-01-15
5667,mar 10 2013,2013-03-10
5668,11 jan 2009,2009-01-11
5669,march 7 1987,1987-03-07
5670,thursday february 22 2001,2001-02-22
5671,friday june 19 1998,1998-06-19
5672,thursday november 2 1995,1995-11-02
5673,monday july 31 2017,2017-07-31
5674,23 december 2007,2007-12-23
5675,18 sep 2000,2000-09-18
5676,4/4/82,1982-04-04
5677,16 december 1974,1974-12-16
5678,jun 6 2017,2017-06-06
5679,december 22 2014,2014-12-22
5680,thursday april 5 2012,2012-04-05
5681,sunday february 27 1983,1983-02-27
5682,23.06.00,2000-06-23
5683,september 24 1986,1986-09-24
5684,26 06 94,1994-06-26
5685,december 19 2005,2005-12-19
5686,28 october 1978,1978-10-28
5687,wednesday november 19 2008,2008-11-19
5688,22 jan 1990,1990-01-22
5689,4 jun 1979,1979-06-04
5690,15 aug 1978,1978-08-15
5691,friday april 8 2005,2005-04-08
5692,23 apr 1998,1998-04-23
5693,monday june 21 1999,1999-06-21
5694,sunday january 27 2002,2002-01-27
5695,9/18/76,1976-09-18
5696,tuesday october 21 1975,1975-10-21
5697,december 18 1982,1982-12-18
5698,21 february 1998,1998-02-21
5699,25 aug 2013,2013-08-25
5700,monday december 30 1991,1991-12-30
5701,1 march 1998,1998-03-01
5702,tuesday march 28 1989,1989-03-28
5703,thursday july 5 1984,1984-07-05
5704,7 november 2017,2017-11-07
5705,sunday june 24 1990,1990-06-24
5706,saturday july 7 1984,1984-07-07
5707,june 27 2001,2001-06-27
5708,20.08.84,1984-08-20
5709,27 november 1989,1989-11-27
5710,tuesday april 14 2009,2009-04-14
5711,saturday may 11 1996,1996-05-11
5712,sunday march 5 1978,1978-03-05
5713,1 oct 1992,1992-10-01
5714,thursday may 25 2006,2006-05-25
5715,22 may 2007,2007-05-22
5716,monday october 3 2016,2016-10-03
5717,07.07.02,2002-07-07
5718,5/18/12,2012-05-18
5719,15 jul 1976,1976-07-15
5720,25 january 2007,2007-01-25
5721,26.01.84,1984-01-26
5722,december 20 1986,1986-12-20
5723,mar 7 2011,2011-03-07
5724,11 04 72,1972-04-11
5725,saturday december 1 1990,1990-12-01
5726,22 august 1982,1982-08-22
5727,may 17 1973,1973-05-17
5728,friday july 30 1982,1982-07-30
5729,06 aug 1988,1988-08-06
5730,sunday november 20 1994,1994-11-20
5731,june 6 1998,1998-06-06
5732,25 nov 1982,1982-11-25
5733,11 august 1993,1993-08-11
5734,friday may 16 2014,2014-05-16
5735,friday november 17 1989,1989-11-17
5736,november 8 2010,2010-11-08
5737,thursday april 3 2008,2008-04-03
5738,10 december 2011,2011-12-10
5739,saturday may 15 1976,1976-05-15
5740,friday march 2 1973,1973-03-02
5741,may 2 1974,1974-05-02
5742,february 24 2007,2007-02-24
5743,sunday july 23 1978,1978-07-23
5744,17 dec 1989,1989-12-17
5745,14.10.97,1997-10-14
5746,5 jun 1981,1981-06-05
5747,monday september 12 2005,2005-09-12
5748,july 22 2009,2009-07-22
5749,april 29 1997,1997-04-29
5750,31 july 1981,1981-07-31
5751,sunday may 17 1992,1992-05-17
5752,wednesday july 4 1990,1990-07-04
5753,friday september 8 2000,2000-09-08
5754,28 february 1990,1990-02-28
5755,10 september 2002,2002-09-10
5756,monday january 15 1996,1996-01-15
5757,22 oct 1998,1998-10-22
5758,friday february 18 2011,2011-02-18
5759,thursday may 3 1990,1990-05-03
5760,friday october 20 2006,2006-10-20
5761,8 may 2005,2005-05-08
5762,july 19 1989,1989-07-19
5763,nov 15 1970,1970-11-15
5764,december 28 1971,1971-12-28
5765,may 16 2003,2003-05-16
5766,13 feb 1985,1985-02-13
5767,tuesday october 23 1973,1973-10-23
5768,1 feb 1987,1987-02-01
5769,thursday april 8 1993,1993-04-08
5770,monday may 11 2015,2015-05-11
5771,monday september 8 1975,1975-09-08
5772,friday february 28 2003,2003-02-28
5773,thursday november 11 2010,2010-11-11
5774,24 may 1985,1985-05-24
5775,thursday july 28 1977,1977-07-28
5776,21 jan 1982,1982-01-21
5777,february 28 1980,1980-02-28
5778,sunday june 19 1983,1983-06-19
5779,jan 7 2008,2008-01-07
5780,wednesday november 10 1982,1982-11-10
5781,13.07.80,1980-07-13
5782,tuesday may 7 1996,1996-05-07
5783,tuesday march 7 2017,2017-03-07
5784,feb 24 1981,1981-02-24
5785,6 02 99,1999-02-06
5786,22 sep 2014,2014-09-22
5787,aug 20 1995,1995-08-20
5788,thursday august 23 1990,1990-08-23
5789,saturday september 10 2016,2016-09-10
5790,24 jan 1993,1993-01-24
5791,monday may 29 1989,1989-05-29
5792,apr 13 1987,1987-04-13
5793,14 feb 1979,1979-02-14
5794,30 october 1993,1993-10-30
5795,17 aug 1970,1970-08-17
5796,22 03 89,1989-03-22
5797,friday september 4 1992,1992-09-04
5798,1 february 1987,1987-02-01
5799,23 nov 1978,1978-11-23
5800,thursday october 23 2003,2003-10-23
5801,thursday november 12 1970,1970-11-12
5802,3 december 2016,2016-12-03
5803,april 21 1999,1999-04-21
5804,sunday august 21 1977,1977-08-21
5805,17 april 2000,2000-04-17
5806,15 aug 1998,1998-08-15
5807,jan 7 2017,2017-01-07
5808,11.10.86,1986-10-11
5809,wednesday april 9 1980,1980-04-09
5810,18 sep 1990,1990-09-18
5811,2 december 1982,1982-12-02
5812,wednesday february 3 1993,1993-02-03
5813,october 30 1972,1972-10-30
5814,tuesday january 3 1984,1984-01-03
5815,thursday may 24 2007,2007-05-24
5816,september 22 2015,2015-09-22
5817,saturday september 18 1982,1982-09-18
5818,monday september 30 1996,1996-09-30
5819,12 feb 2018,2018-02-12
5820,monday november 13 2006,2006-11-13
5821,wednesday january 27 2016,2016-01-27
5822,30 march 1975,1975-03-30
5823,3 may 2015,2015-05-03
5824,friday july 10 2009,2009-07-10
5825,june 27 2002,2002-06-27
5826,saturday december 5 1992,1992-12-05
5827,18 december 2005,2005-12-18
5828,wednesday december 9 1970,1970-12-09
5829,april 23 1984,1984-04-23
5830,20 may 1985,1985-05-20
5831,29 09 13,2013-09-29
5832,1 september 1980,1980-09-01
5833,tuesday june 15 1982,1982-06-15
5834,22 july 2004,2004-07-22
5835,26 05 89,1989-05-26
5836,jun 19 1983,1983-06-19
5837,monday january 13 2014,2014-01-13
5838,10/30/84,1984-10-30
5839,thursday march 16 2017,2017-03-16
5840,friday august 15 2003,2003-08-15
5841,wednesday september 24 1986,1986-09-24
5842,dec 10 1975,1975-12-10
5843,monday january 2 2006,2006-01-02
5844,01 dec 2014,2014-12-01
5845,dec 4 2014,2014-12-04
5846,wednesday january 28 1998,1998-01-28
5847,10/15/71,1971-10-15
5848,sunday august 31 1975,1975-08-31
5849,sunday december 22 2013,2013-12-22
5850,october 7 1983,1983-10-07
5851,14 may 2002,2002-05-14
5852,5/24/80,1980-05-24
5853,14 may 1978,1978-05-14
5854,5 january 1982,1982-01-05
5855,02.11.98,1998-11-02
5856,august 19 1983,1983-08-19
